"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisdeclareiddeclarationmensuelle","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19509490","17928184","30404335","753108950","00027","2022-09-01","02","01","202209280000020","1","01","000001","WS360RJi7ol.bJJdDvjPTGD","2022-09-29 16:49:10.747","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19509492","17928187","30404338","753108950","00027","2022-09-01","02","01","202209280000020","1","01","000001","WS360RJi7ol.bJJdDvjPTGD","2022-09-29 16:49:11.457","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19710313","18116676","30737542","777053307","00040","2022-09-01","02","01","2734","1","01","000001","A3V5GJONzU6d53FBKNLPJPN","2022-10-11 13:12:21.272","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"19710315","18116677","30737543","777053307","00040","2022-09-01","02","01","2734","1","01","000001","A3V5GJONzU6d53FBKNLPJPN","2022-10-11 13:12:21.706","P22V01","01","upload","CNAV","HISTO_IJ","\N"
"18986730","17465491","29614293","786276964","00040","2022-08-01","02","01","1","1","01","000001","WSLA7OjRXyHGJMAJ2wfytYf","2022-08-18 13:43:01.081","P22V01","02","MtoM","MSADO","DSN","\N"
"18986731","17465492","29614294","786276964","00040","2022-08-01","02","01","0","2","01","000001","WSj6PIejemfbZpLhxD2OTAO","2022-08-18 13:43:03.223","P22V01","02","MtoM","MSADO","DSN","\N"
"19528704","17945911","30433672","793202516","00019","2022-09-01","02","01","220930170245954","2","01","000001","WSe5HWrC13UCIWPtVO8Mum9","2022-09-30 17:37:59.222","P22V01","02","MtoM","MSADO","DSN","\N"
"19528705","17945912","30433673","793202516","00019","2022-09-01","02","01","220930170235484","1","01","000001","WSqXBUy5y-1V73JhSNvTzcS","2022-09-30 17:37:59.743","P22V01","02","MtoM","MSADO","DSN","\N"
"19279564","17714251","30037993","797739521","00020","2022-08-01","01","01","220909142441754","1","01","000001","WSzJr2liQjLzqQIh5Ni6dOY","2022-09-09 14:35:48.821","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19279565","17714252","30037994","797739521","00020","2022-08-01","01","01","220909142441754","1","01","000001","WSzJr2liQjLzqQIh5Ni6dOY","2022-09-09 14:35:49.296","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19717432","18123429","30749243","802889311","00022","2022-09-01","02","01","221011112941849","1","01","000001","WSDdQRDKrOWRJ7I91kvig1D","2022-10-11 15:36:45.51","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19717433","18123430","30749245","802889311","00022","2022-09-01","02","01","221011112941849","1","01","000001","WSDdQRDKrOWRJ7I91kvig1D","2022-10-11 15:36:45.994","P22V01","01","MtoM","CNAV","HISTO_IJ","\N"
"19386747","17814709","30221706","804881373","00026","2022-08-01","02","01","220915113013715","1","01","000001","WS1CPwKaOrpubIPN9APNn6M","2022-09-15 11:36:11.262","P22V01","02","MtoM","MSADO","DSN","\N"
"19386748","17814710","30221711","804881373","00026","2022-08-01","02","01","220915113013715","1","01","000001","WS1CPwKaOrpubIPN9APNn6M","2022-09-15 11:36:12.512","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19791695","18192669","30875644","804988848","00029","2022-09-01","02","01","221011100707854","1","01","000001","WS02kx7.UhLdpMCNLhIUhYN","2022-10-17 09:31:20.176","P22V01","02","MtoM","MSADO","DSN","\N"
"19791697","18192671","30875646","804988848","00029","2022-09-01","02","01","221011100705487","2","01","000001","WSh2CSOQHdV1pfH1VCrADW-","2022-10-17 09:31:21.194","P22V01","02","MtoM","MSADO","DSN","\N"
"19361106","17790841","30179702","811481845","00014","2022-08-01","02","02","220914092155738","1","01","000001","WSquRTSavDcOoeLtjYsHJJ3","2022-09-14 09:25:56.885","P22V01","02","MtoM","CTIP","DSN_OC","\N"
