"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisconstitutionidsignalement","natureiddeclaration","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19827911","18226915","30931352","404503104","00014","202210","07","01","01","221021150036722","1","01","000001","WSGE2SDm92zQrOMJE2OkhYQ","2022-10-21 15:15:41.919","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19827912","18226916","30931353","404503104","00014","202210","07","01","01","221021150036722","1","01","000001","WSGE2SDm92zQrOMJE2OkhYQ","2022-10-21 15:15:42.136","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19606630","\N","\N","409227170","00019","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19606927","\N","\N","409227170","00019","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19743899","\N","\N","413219759","00011","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19744120","\N","\N","413219759","00011","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19744880","\N","\N","413219759","00011","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19745246","\N","\N","413219759","00011","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19502372","17921236","30393798","428647234","00015","202209","07","01","01","20220929114004","1","01","000001","WSvP5l2uf8jlo0PdvEioSKv","2022-09-29 12:15:59.621","P22V01","02","MtoM","MSADO","DSN","\N"
"19502373","17921237","30393800","428647234","00015","202209","07","01","01","20220929114004","1","01","000001","WSvP5l2uf8jlo0PdvEioSKv","2022-09-29 12:16:00.29","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19133080","17576977","29795339","440762151","00023","202208","07","01","01","220831095250583","1","01","000001","WSLdsJsXT7Y.7.HNEKHy6XC","2022-09-02 06:19:11.714","P22V01","02","MtoM","MSADO","DSN","\N"
"19133084","17576984","29795348","440762151","00023","202208","07","01","01","220831095250583","1","01","000001","WSLdsJsXT7Y.7.HNEKHy6XC","2022-09-02 06:19:12.369","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19757164","18160136","30817389","444872675","00012","202210","07","01","01","221013104011733","1","01","000001","WSK4KEKrcQ4W75IxBEJbv9q","2022-10-13 10:46:15.725","P22V01","02","MtoM","MSADO","DSN","\N"
"19757165","18160137","30817391","444872675","00012","202210","07","01","01","221013104011733","1","01","000001","WSK4KEKrcQ4W75IxBEJbv9q","2022-10-13 10:46:16.408","P22V01","02","MtoM","CTIP","DSN_OC","\N"
